Monocytes,alveolar_mac_DEG,macrophage
,DSE,
,ETHE1,
,CBR1,
,C3AR1,
,PAPSS1,
,MYD88,
,BCL2A1,
,TXNDC17,
,DRAM1,
,RTN3,
,ATOX1,
,PLIN2,
,FMNL2,
,APOC1P1,
,PRDX3,
,ADAM17,
,APOL4,
,TUBB4B,
,KMO,
,COLEC12,
,MGST2,
,EPHX1,
,ARL4A,
,P2RX4,
,ECHDC1,
,ACP2,
,HSPA1A,
,HLA-DQA2,
,PSAP,
,NANS,
,FUCA2,
,ARRB1,
,NCF4,
,APLP2,
,PLD3,
,HK3,
,RHBDD2,
,FUCA1,
,PCBD1,
,LPXN,
,MRPL14,
,TUBB2A,
,IL3RA,
,TMEM14C,
,REEP3,
,MSRB2,
,IGFBP2,
,TPP1,
,GLB1,
,SLC6A6,
,ATP6V0D1,
,MFSD1,
,DENND5A,
,GK,
,CTNNB1,
,TMBIM1,
,RNPEP,
,SCPEP1,
,IL1RN,
,DECR1,
,CLTC,
,RNF13,
,ALDH3A2,
,LIPA,
,ATP6V0C,
,ATP6V1E1,
,MAN1A1,
,PEPD,
,AKR1A1,
,RAB1A,
,NAA20,
,PSMB5,
,SLFN11,
,ATP2C1,
,TGOLN2,
,SUMO3,
,UBB,
,ALAS1,
,RBM47,
,ASAH1,
,UROD,
,NAPRT,
,TMEM35B,
,CHMP5,
,DPH3,
,AKR1B1,
,SPNS1,
,B3GNT5,
,ORMDL2,
,GTF3C6,
,HSBP1,
,SH3GLB1,
,KAT8,
,LAMP1,
,TRIP6,
,HIGD1A,
,CD86,
,DST,
,STOM,
,IFI35,
,CNDP2,
,GCA,
,C20orf27,
,SLC49A3,
,RAB11FIP1,
,SIRPB1,
,OAZ1,
,DOK2,
,BID,
,MRPS15,
,VDAC1,
,PSMA7,
,RNF181,
,SDCBP,
,SLC16A3,
,SERPINB6,
,BLOC1S2,
,SMS,
,USP30-AS1,
,JAML,
,SECTM1,
,THEMIS2,
,BLVRB,
,CST3,
,HLA-DPA1,
,UNC93B1,
,TIMM8B,
,CAT,
,RILP,
,VPS29,
,HCAR2,
,BST1,
,RPL26L1,
,PLA2G15,
,VRK2,
,MGLL,
,HSP90AA1,
,PLEC,
,JPT1,
,ATP6V1A,
,ISOC2,
,NDUFB6,
,NENF,
,ECSCR,
,TNFAIP2,
,OSBPL11,
,MT1F,
,PPT1,
,TMEM165,
,STAC3,
,TYMP,
,SNX2,
,PYCARD,
,LHFPL2,
,SFTPC,
,THBD,
,TFEC,
,ATP5MC3,
,CYBA,
,EMC7,
,GBP1,
,SELENON,
,MOB3B,
,MDH1,
,KLF4,
,FDFT1,
,TOMM5,
,PFDN2,
,ATP2B1,
,BCAP31,
,AKIRIN2,
,CD300C,
,CCT5,
,SSR3,
,UGP2,
,CLTA,
,MT2A,
,RNF130,
,HADHB,
,IL18,
,FCGR1B,
,NUCB1,
,NDUFB3,
,DESI1,
,NMB,
,C15orf48,
,ISG15,
,GLA,
,SLIRP,
,ANAPC11,
,IDH1,
,IFNGR2,
,GYPC,
,BATF3,
,ALDOA,
,ELOB,
,MX1,
,YWHAE,
,AP2S1,
,UBE2L6,
,B3GNT7,
,CAMP,
,RHEB,
,ARL6IP1,
,CARD16,
,CTSS,
,FLNA,
,VIM,
,H2AFY,
,LAMTOR2,
,ELOC,
,GRB2,
,CCL20,
,CTSA,
,FDX1,
,RASGEF1B,
,EFHD2,
,TKT,
,GPX1,
,CHCHD10,
,SLAMF8,
,POMP,
,NR1H3,
,DNAJA1,
,IFI27,
,ROMO1,
,PSMA3,
,MYDGF,
,HLA-DPB1,
,SLC2A6,
,GPX3,
,SDHC,
,HBEGF,
,CXCL2,
,C1orf162,
,SYNGR2,
,C8B,
,C19orf70,
,ATP1B3,
,REEP5,
,ENY2,
,HSPE1,
,TAGLN,
,POLD4,
,SLC3A2,
,CAPZA2,
,CHMP2A,
,SSB,
,S100A4,
,ERP44,
,MT1E,
,EIF6,
,ACADVL,
,C4orf48,
,PKM,
,VASP,
,ABL2,
,LAMTOR1,
,TAGLN2,
,NDUFV2,
,EGR2,
,TMED10,
,BAX,
,ATP6AP2,
,CD52,
,PSMD8,
,SFT2D1,
,YBX1,
,RNF149,
,RAB5C,
,TMEM219,
,COX17,
,IL1A,
,GNB2,
,DYNLRB1,
,RNH1,
,GNG5,
,CDC37,
,MT1G,
,FKBP1A,
,LGALS1,
,SERF2,
,NDUFB7,
,SCP2,
,RPS27L,
,NDUFB9,
,ZNF706,
,CD47,
,ATP5PD,
,SNX3,
,BSG,
,ATP6V0E1,
,CEBPB,
,CD164,
,PRDX5,
,NPC2,
,PSME2,
,LAMTOR5,
,PSMB6,
,CIB1,
,SEM1,
,VDAC2,
,RAB7A,
,CXCL8,
,RHOA,
,TALDO1,
,CALR,
,TNIP3,
,ECH1,
,LRRFIP1,
,ATP5F1C,
,TMBIM6,
,PSMA4,
,TNFAIP6,
,SOD2,
,SH3BGRL,
,PEBP1,
,CYCS,
,MICOS10,
,PRSS21,
,MT1X,
,UQCRQ,
,UQCR10,
,CFL1,
,TMBIM4,
,SAT1,
,ATP5MF,
,ATP5PF,
,BLOC1S1,
,ARPC5,
,C9orf16,
,RBX1,
,PRR13,
,NDUFB2,
,PSMB3,
,NDUFS5,
,YWHAB,
,COX7B,
,ARPC3,
,DBI,
,ARPC2,
,PGK1,
,GSTP1,
,COX5B,
,ARPC1B,
,SAP18,
,ITM2B,
,SH3BGRL3,
,LDHA,
,NDUFA4,
,PFN1,
,FABP3,
,COX7A2,
,CALM1,
,SCGB1A1,
,ENO1,
,TMEM59,
,CLIC1,
,HSP90AB1,
,SCGB3A1,
,MT1M,
,IL6,
,COX6C,
,CXCL1,
,MYL12B,
,PPIA,
,CALM2,
,PTX3,
,CXCL10,
