"","B cells|B cells","B cells|Endothelial cells","B cells|Epithelial cells","B cells|Fibroblasts","B cells|Mast cell-like","B cells|Myeloid","B cells|Neuron-like cells","B cells|T cells","Endothelial cells|B cells","Endothelial cells|Endothelial cells","Endothelial cells|Epithelial cells","Endothelial cells|Fibroblasts","Endothelial cells|Mast cell-like","Endothelial cells|Myeloid","Endothelial cells|Neuron-like cells","Endothelial cells|T cells","Epithelial cells|B cells","Epithelial cells|Endothelial cells","Epithelial cells|Epithelial cells","Epithelial cells|Fibroblasts","Epithelial cells|Mast cell-like","Epithelial cells|Myeloid","Epithelial cells|Neuron-like cells","Epithelial cells|T cells","Fibroblasts|B cells","Fibroblasts|Endothelial cells","Fibroblasts|Epithelial cells","Fibroblasts|Fibroblasts","Fibroblasts|Mast cell-like","Fibroblasts|Myeloid","Fibroblasts|Neuron-like cells","Fibroblasts|T cells","Mast cell-like|B cells","Mast cell-like|Endothelial cells","Mast cell-like|Epithelial cells","Mast cell-like|Fibroblasts","Mast cell-like|Mast cell-like","Mast cell-like|Myeloid","Mast cell-like|Neuron-like cells","Mast cell-like|T cells","Myeloid|B cells","Myeloid|Endothelial cells","Myeloid|Epithelial cells","Myeloid|Fibroblasts","Myeloid|Mast cell-like","Myeloid|Myeloid","Myeloid|Neuron-like cells","Myeloid|T cells","Neuron-like cells|B cells","Neuron-like cells|Endothelial cells","Neuron-like cells|Epithelial cells","Neuron-like cells|Fibroblasts","Neuron-like cells|Mast cell-like","Neuron-like cells|Myeloid","Neuron-like cells|Neuron-like cells","Neuron-like cells|T cells","T cells|B cells","T cells|Endothelial cells","T cells|Epithelial cells","T cells|Fibroblasts","T cells|Mast cell-like","T cells|Myeloid","T cells|Neuron-like cells","T cells|T cells"
"LAMC1_a7b1 complex",1,1,0.77774788691464,0.77774788691464,1,0.475420895844005,0.970478214010547,0.911721328081794,0.970478214010547,0.894960699731734,0.666381514239372,0.911721328081794,1,0.408662062765019,1,1,1,1,0.509162286821262,0.254275291317341,0.970478214010547,0.711913015090245,0.970478214010547,1,0.970478214010547,0.911721328081794,1,1,0.970478214010547,0.356727435488374,1,1,1,0.84249199195511,0.879202559484743,0.949341207742457,0.886793554368078,0.84249199195511,0.84249199195511,0.509162286821262,0.93791115884463,0.911721328081794,0.25877171896482,0.785502975839338,1,0.254275291317341,1,0.977197126698335,1,1,0.509162286821262,0.229027850430298,1,0.509162286821262,0.970478214010547,0.911721328081794,1,0.879795158168921,0.675406454998111,0.991907854364255,1,0.601724294227573,0.84249199195511,1
"SPP1_a9b1 complex",0.84249199195511,1,1,1,1,0.970478214010547,0.93791115884463,0.93791115884463,0.911721328081794,1,1,0.879795158168921,0.949341207742457,0.971846707057438,1,0.949341207742457,0.911721328081794,1,1,0.801202915839111,1,1,1,0.911721328081794,0.807127416554678,0.705720627411733,0.777111149889142,0.970478214010547,0.84249199195511,1,0.836025654709499,0.911721328081794,0.911721328081794,0.84249199195511,0.84249199195511,0.84249199195511,0.84249199195511,0.84249199195511,0.84249199195511,0.84249199195511,0.785502975839338,0.277635830841012,0.509162286821262,0.879202559484743,0.646486279836623,0.525937212779096,0.254275291317341,0.475420895844005,0.785502975839338,0.807127416554678,0.807127416554678,0.911721328081794,0.886793554368078,0.84249199195511,0.868790465749427,0.911721328081794,0.84249199195511,0.384277146485675,0.506646279809613,0.722124007422641,0.358751792433586,0.506646279809613,0.389208632373621,0.509162286821262
"TNC_a9b1 complex",0.886793554368078,0.785502975839338,0.752757031355029,0.666381514239372,0.752757031355029,0.752757031355029,0.826072704920599,0.826072704920599,0.896545506477058,0.496213807245841,0.431260172200647,0.203569719042401,0.509162286821262,0.333773135879748,0.626019035552838,0.480240044909235,0.911721328081794,0.752757031355029,1,0.195431727580556,0.84249199195511,0.38301640903253,0.356727435488374,0.853446197777409,0.977197126698335,0.820467189528209,0.84249199195511,0.879202559484743,0.820467189528209,1,0.38301640903253,1,0.509162286821262,0.254275291317341,0.254275291317341,0.254275291317341,0.254275291317341,0.254275291317341,0.254275291317341,0.254275291317341,0.484598649860234,0.539037770732804,0.485070069276639,0.254275291317341,0.521402600047532,0.284705162037444,0.84249199195511,0.701442676332385,0.970478214010547,1,1,0.914410270348973,0.970478214010547,1,1,0.970478214010547,1,1,0.896545506477058,0.626828497703922,0.970478214010547,0.84249199195511,1,0.977197126698335
"VCAM1_a9b1 complex",0.509162286821262,1,1,1,1,1,1,1,0.971846707057438,0.539037770732804,0.84249199195511,0.509162286821262,0.807127416554678,1,0.298148665907083,1,1,1,1,0.660937205635391,1,0.911721328081794,0.914410270348973,0.949341207742457,0.873314879657426,0.178540207634671,0.84249199195511,0.25877171896482,0.646486279836623,0.992702123198483,0.254275291317341,0.524484108869673,1,0.886793554368078,0.84249199195511,0.84249199195511,0.886793554368078,0.84249199195511,0.886793554368078,0.886793554368078,0.566441042692036,0.697104352037312,0.309640366660603,0.181109129522282,0.556717891625147,0.254275291317341,0.752757031355029,0.523587399611623,0.84249199195511,1,1,0.914410270348973,1,1,1,1,1,1,1,0.879202559484743,1,0.801202915839111,1,0.911721328081794
"THY1_aMb2 complex",0.911721328081794,0.911721328081794,0.84249199195511,0.84249199195511,0.911721328081794,0.84249199195511,1,0.84249199195511,0.970478214010547,0.84249199195511,0.896545506477058,0.700112596438897,0.785502975839338,0.700112596438897,0.84249199195511,0.764539847256273,0.886793554368078,0.785502975839338,1,0.769342366815871,0.911721328081794,1,0.886793554368078,0.84249199195511,0.747978013167052,0.701442676332385,0.990908489526072,0.882075715254571,1,0.701442676332385,0.886793554368078,0.530637402250075,1,1,0.911721328081794,0.911721328081794,0.911721328081794,0.911721328081794,1,0.911721328081794,0.509162286821262,1,0.509162286821262,0.84249199195511,0.84249199195511,0.970478214010547,0.509162286821262,1,0.949341207742457,0.785502975839338,0.705943059569635,0.752757031355029,0.970478214010547,0.639774528147751,0.84249199195511,0.675940041461644,0.84249199195511,0.84249199195511,0.785502975839338,0.785502975839338,1,0.615395649470833,0.911721328081794,0.701442676332385
"FCER2_aMb2 complex",0.254275291317341,0.911721328081794,0.509162286821262,1,0.752757031355029,0.700112596438897,0.509162286821262,0.509162286821262,0.539037770732804,1,0.254275291317341,0.84249199195511,0.254275291317341,0.84249199195511,0.509162286821262,0.879202559484743,0.914410270348973,0.911721328081794,0.84249199195511,0.897177508323448,0.509162286821262,0.806051269481093,0.509162286821262,0.615395649470833,0.971846707057438,0.84249199195511,0.93791115884463,0.911721328081794,0.911721328081794,0.911721328081794,0.84249199195511,0.964412545766337,0.509162286821262,1,0.509162286821262,1,1,0.509162286821262,1,0.509162286821262,1,0.785502975839338,0.785502975839338,0.785502975839338,0.785502975839338,0.752757031355029,0.84249199195511,0.84249199195511,1,1,1,1,1,1,1,1,0.84249199195511,1,0.84249199195511,0.509162286821262,0.539037770732804,0.539037770732804,0.509162286821262,0.509162286821262
"ICAM1_aMb2 complex",1,0.785502975839338,0.752757031355029,0.610116978559185,1,0.417966831528407,0.886793554368078,0.621290389694307,1,0.701442676332385,0.971846707057438,0.84249199195511,0.615395649470833,0.886793554368078,0.886793554368078,0.911721328081794,0.911721328081794,0.701442676332385,0.911721328081794,0.509162286821262,0.886793554368078,0.842704250455907,0.886793554368078,0.722124007422641,1,0.701442676332385,1,0.752757031355029,0.801202915839111,1,0.84249199195511,1,0.509162286821262,1,0.509162286821262,0.84249199195511,0.84249199195511,0.509162286821262,1,0.509162286821262,0.826072704920599,0.701442676332385,0.970478214010547,0.915670682132064,1,0.711913015090245,0.84249199195511,0.949341207742457,0.911721328081794,0.911721328081794,1,0.914410270348973,0.149673919272588,0.666381514239372,0.911721328081794,0.485070069276639,0.970948561097978,0.701442676332385,0.84249199195511,0.785502975839338,0.84249199195511,0.518249420212166,0.84249199195511,0.705943059569635
"F10_aMb2 complex",0.84249199195511,0.911721328081794,0.911721328081794,0.84249199195511,1,0.84249199195511,0.911721328081794,0.84249199195511,0.84249199195511,0.84249199195511,0.84249199195511,1,0.970478214010547,1,1,0.949341207742457,0.970948561097978,0.701442676332385,1,0.798234579832586,0.971846707057438,1,0.84249199195511,1,0.984887686087063,0.701442676332385,0.970478214010547,1,0.801202915839111,0.911721328081794,0.84249199195511,1,0.509162286821262,1,0.509162286821262,0.509162286821262,0.509162286821262,0.509162286821262,0.509162286821262,0.509162286821262,0.84249199195511,0.701442676332385,0.84249199195511,0.924097852021952,0.911721328081794,0.991907854364255,0.911721328081794,0.991907854364255,0.84249199195511,1,0.509162286821262,0.509162286821262,0.254275291317341,0.277635830841012,0.509162286821262,0.309640366660603,0.970478214010547,0.84249199195511,1,1,0.886793554368078,0.916422565717355,0.886793554368078,0.84249199195511
"C3_aMb2 complex",0.84249199195511,0.911721328081794,0.886793554368078,0.886793554368078,0.509162286821262,1,0.886793554368078,1,1,0.785502975839338,1,1,1,1,0.886793554368078,1,0.911721328081794,0.701442676332385,0.894960699731734,0.701442676332385,0.886793554368078,0.530637402250075,0.84249199195511,0.525937212779096,0.970478214010547,0.701442676332385,0.990908489526072,0.826072704920599,0.835815796457262,0.911721328081794,0.84249199195511,1,0.911721328081794,0.84249199195511,0.84249199195511,0.84249199195511,0.911721328081794,0.785502975839338,0.911721328081794,0.785502975839338,0.886793554368078,0.785502975839338,0.639774528147751,0.84249199195511,1,0.785502975839338,0.886793554368078,0.84249199195511,0.798234579832586,0.84249199195511,0.785502975839338,0.460111695211661,1,0.873326080098332,0.911721328081794,1,0.309640366660603,0.701442676332385,0.509162286821262,0.509162286821262,0.615395649470833,0.311694057215399,0.911721328081794,0.263268916772299
"GP1BA_aMb2 complex",0.914410270348973,0.84249199195511,1,0.970478214010547,0.886793554368078,0.970478214010547,0.84249199195511,1,0.509162286821262,1,0.509162286821262,0.886793554368078,0.84249199195511,0.84249199195511,0.509162286821262,0.886793554368078,0.911721328081794,0.785502975839338,0.911721328081794,0.911721328081794,0.755482906866443,0.911721328081794,0.911721328081794,1,0.970478214010547,0.701442676332385,0.701057715540502,0.820467189528209,0.84249199195511,0.776558321765063,0.84249199195511,0.913763731453891,0.509162286821262,1,0.509162286821262,0.911721328081794,0.84249199195511,0.84249199195511,1,0.886793554368078,0.914410270348973,0.785502975839338,0.894960699731734,0.914410270348973,0.441515529364064,0.911721328081794,1,0.836025654709499,0.911721328081794,1,1,0.911721328081794,1,0.911721328081794,1,0.911721328081794,0.752757031355029,0.785502975839338,1,0.911721328081794,0.879795158168921,1,0.84249199195511,0.911721328081794
"JAM3_aMb2 complex",0.945990444828307,0.785502975839338,0.911721328081794,0.84249199195511,0.949341207742457,0.557943856100999,0.84249199195511,0.620006544498497,0.941586553498565,0.701442676332385,0.918744284872256,1,0.525937212779096,0.509162286821262,0.84249199195511,0.325126372586584,1,0.701442676332385,1,0.879202559484743,0.588302529494233,1,0.886793554368078,1,0.914410270348973,0.701442676332385,1,0.882075715254571,0.752757031355029,0.525937212779096,0.886793554368078,0.911721328081794,0.666381514239372,0.84249199195511,0.701442676332385,1,0.970478214010547,0.84249199195511,0.84249199195511,0.755482906866443,0.835815796457262,0.785502975839338,0.991907854364255,1,0.807127416554678,0.539037770732804,0.84249199195511,0.737117742654431,1,0.785502975839338,1,1,0.615395649470833,1,0.84249199195511,0.785502975839338,1,0.701442676332385,1,0.879202559484743,0.970478214010547,1,0.84249199195511,1
"THY1_aXb2 complex",1,1,0.84249199195511,0.911721328081794,0.911721328081794,0.84249199195511,1,0.84249199195511,0.701442676332385,0.84249199195511,0.700112596438897,0.700112596438897,0.911721328081794,0.720793945586533,0.911721328081794,0.525937212779096,0.588302529494233,0.309640366660603,1,0.897177508323448,1,1,0.911721328081794,0.752757031355029,0.911721328081794,0.785502975839338,1,0.984887686087063,0.970478214010547,0.84249199195511,0.911721328081794,0.84249199195511,0.911721328081794,1,0.911721328081794,0.911721328081794,0.911721328081794,0.911721328081794,1,0.911721328081794,0.509162286821262,0.509162286821262,0.509162286821262,0.84249199195511,0.911721328081794,0.970478214010547,1,0.970478214010547,1,0.84249199195511,0.807127416554678,0.84249199195511,0.84249199195511,0.639774528147751,0.911721328081794,0.81990705470859,0.785502975839338,0.84249199195511,0.785502975839338,0.785502975839338,1,0.615395649470833,0.911721328081794,0.615395649470833
"FCER2_aXb2 complex",0.254275291317341,0.254275291317341,0.806620299998329,0.970478214010547,1,0.653536011523088,1,0.509162286821262,0.539037770732804,0.254275291317341,0.509162286821262,0.84249199195511,0.509162286821262,0.84249199195511,1,0.84249199195511,0.617499438627643,0.149673919272588,1,0.970478214010547,0.886793554368078,0.679376554951569,1,0.496213807245841,0.879795158168921,0.509162286821262,1,1,0.911721328081794,0.911721328081794,0.911721328081794,1,0.509162286821262,1,0.509162286821262,1,1,0.509162286821262,1,0.509162286821262,0.528919478886588,0.254275291317341,0.879202559484743,0.911721328081794,0.970478214010547,0.886793554368078,0.911721328081794,1,1,1,1,1,1,1,1,1,0.509162286821262,0.509162286821262,0.254275291317341,0.509162286821262,1,0.539037770732804,1,0.509162286821262
"ICAM1_aXb2 complex",1,1,0.84249199195511,0.705943059569635,0.84249199195511,0.478538145446116,0.911721328081794,0.697104352037312,0.949341207742457,0.462588843753796,0.980735614273841,0.886793554368078,0.886793554368078,0.780152613883712,0.911721328081794,0.807127416554678,1,0.509162286821262,0.971846707057438,0.747978013167052,0.970478214010547,1,0.911721328081794,0.970948561097978,0.911721328081794,0.509162286821262,1,0.879202559484743,0.970478214010547,0.842704250455907,0.911721328081794,0.935545401306019,0.254275291317341,1,0.254275291317341,0.84249199195511,0.911721328081794,0.509162286821262,1,0.509162286821262,0.980735614273841,0.970478214010547,1,1,0.701442676332385,0.701442676332385,0.911721328081794,1,0.522926103415391,0.509162286821262,1,0.914410270348973,0.509162286821262,0.602693360292659,0.911721328081794,0.509162286821262,1,0.970478214010547,1,0.911721328081794,0.701442676332385,0.518249420212166,0.911721328081794,0.84249199195511
"TNC_aVb6 complex",0.509162286821262,0.539037770732804,0.785502975839338,0.886793554368078,0.509162286821262,0.886793554368078,0.911721328081794,0.826072704920599,0.509162286821262,0.358751792433586,0.431260172200647,0.390738196175573,0.149673919272588,0.266911135811283,0.525937212779096,0.277635830841012,0.509162286821262,0.267364134830283,0.752757031355029,0.473228615572014,0.155678524374176,0.413513465837713,0.509162286821262,0.728368619339648,0.484598649860234,0.285531008962403,0.675940041461644,0.854127979692425,0.149673919272588,0.752757031355029,0.617499438627643,1,0.509162286821262,0.254275291317341,0.254275291317341,0.509162286821262,0.509162286821262,0.509162286821262,1,0.254275291317341,0.149673919272588,0.255282455656847,0.84249199195511,0.477823565876139,0.149673919272588,0.254275291317341,0.525937212779096,0.525937212779096,1,0.970478214010547,1,0.806620299998329,0.509162286821262,0.666381514239372,0.806620299998329,0.971846707057438,0.400603091090411,0.327023433302526,1,0.752757031355029,0.309640366660603,0.441515529364064,0.509162286821262,0.785502975839338
"TGFB1_aVb6 complex",0.441515529364064,0.244235086288147,0.911721328081794,0.384277146485675,0.149673919272588,0.254275291317341,0.443810004850478,0.400603091090411,0.441515529364064,0.285531008962403,0.509162286821262,0.58133153284867,0.168002459158516,0.475420895844005,0.480240044909235,0.525981605490353,0.484598649860234,0.285531008962403,0.441515529364064,0.525240497197386,0.183674709969214,0.413513465837713,0.509162286821262,0.591695673631939,0.509162286821262,0.267364134830283,0.441515529364064,0.675406454998111,0.183674709969214,0.413513465837713,0.509162286821262,0.728368619339648,0.309640366660603,0.149673919272588,1,0.462588843753796,0.0933556194820701,0.178540207634671,0.231168337025631,0.381045766007572,0.358751792433586,0.254275291317341,0.722124007422641,0.525240497197386,0.168002459158516,0.413513465837713,0.480240044909235,0.400603091090411,0.277635830841012,0.396712984100255,0.338621907007503,0.882075715254571,0.183674709969214,0.602693360292659,0.522926103415391,0.804424118727178,0.358751792433586,0.244235086288147,0.646486279836623,0.509162286821262,0.149673919272588,0.325126372586584,0.509162286821262,0.26524537365003
"ACVL1_BMPR2_BMP10",1,1,1,1,1,1,1,1,1,0.911721328081794,1,1,1,1,1,1,1,0.911721328081794,1,1,1,1,1,1,1,0.911721328081794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.911721328081794,1,1,1,1,1,1,1,0.911721328081794,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ACVL1_BMPR2_GDF2",1,1,1,1,1,1,1,1,1,1,1,0.911721328081794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.911721328081794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.911721328081794,1,1,1,1,1,1,1,0.911721328081794,1,1,1,1,1,1,1,0.911721328081794,1,1,1,1
