"","B cells|B cells","B cells|Endothelial cells","B cells|Epithelial cells","B cells|Fibroblasts","B cells|Mast cell-like","B cells|Myeloid","B cells|Neuron-like cells","B cells|T cells","Endothelial cells|B cells","Endothelial cells|Endothelial cells","Endothelial cells|Epithelial cells","Endothelial cells|Fibroblasts","Endothelial cells|Mast cell-like","Endothelial cells|Myeloid","Endothelial cells|Neuron-like cells","Endothelial cells|T cells","Epithelial cells|B cells","Epithelial cells|Endothelial cells","Epithelial cells|Epithelial cells","Epithelial cells|Fibroblasts","Epithelial cells|Mast cell-like","Epithelial cells|Myeloid","Epithelial cells|Neuron-like cells","Epithelial cells|T cells","Fibroblasts|B cells","Fibroblasts|Endothelial cells","Fibroblasts|Epithelial cells","Fibroblasts|Fibroblasts","Fibroblasts|Mast cell-like","Fibroblasts|Myeloid","Fibroblasts|Neuron-like cells","Fibroblasts|T cells","Mast cell-like|B cells","Mast cell-like|Endothelial cells","Mast cell-like|Epithelial cells","Mast cell-like|Fibroblasts","Mast cell-like|Mast cell-like","Mast cell-like|Myeloid","Mast cell-like|Neuron-like cells","Mast cell-like|T cells","Myeloid|B cells","Myeloid|Endothelial cells","Myeloid|Epithelial cells","Myeloid|Fibroblasts","Myeloid|Mast cell-like","Myeloid|Myeloid","Myeloid|Neuron-like cells","Myeloid|T cells","Neuron-like cells|B cells","Neuron-like cells|Endothelial cells","Neuron-like cells|Epithelial cells","Neuron-like cells|Fibroblasts","Neuron-like cells|Mast cell-like","Neuron-like cells|Myeloid","Neuron-like cells|Neuron-like cells","Neuron-like cells|T cells","T cells|B cells","T cells|Endothelial cells","T cells|Epithelial cells","T cells|Fibroblasts","T cells|Mast cell-like","T cells|Myeloid","T cells|Neuron-like cells","T cells|T cells"
"CRTAM_CADM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3194604424137,10.2348174311173,0.416978512304524,0.512061953673709,11.2318211786574,9.25266543245025,-10.2288186904959,2.62678267641578,0,0,0,0,0,0,0,0,1.17983585224982,-0.609069117492202,-0.640189551265781,0.102401007245304,0.168787677740614,-1.14086253583985,-12.1357092861044,-0.283954224039197
"NECTIN1_NECTIN4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17306470897288,0,0,9.25266543245025,0,0,0,0,0.937715721745658,0,0,7.22881869049588,0,0,0,0,0,0,0,0,0,0,0,0,1.26497221007529,0,0,6.96578428466209,0,0,0,0,0,0,0,0,0,0,0,0,0.800691191776594,0,0,0,0,0
"TIGIT_NECTIN2",0,0,0,0,0,0,0,0,0,-11.1922928144708,-11.3717766443379,-9.34429590791582,0,-11.2288186904959,-11.0633950812885,0,0,-1.72289040895448,-1.67436158577426,-2.28109437737878,-9.876516946565,-1.2074884143988,-12.4563544151083,-8.64385618977472,0,-1.58921197372251,-1.29249400630746,-3.06735526780176,-8.02236781302845,-1.39401971800976,-11.9439799143437,-6.78135971352466,0,0,0,0,0,0,0,0,0,-11.6750749203854,-11.9068905956085,-11.4146852358072,-9.49185309632967,-11.57931593758,-11.9181178510318,-7.12928301694497,0,0,0,0,0,0,0,0,0,0.698390726118089,0.0104467874351157,-0.233019425848512,-12.0801513096141,-0.0121840612463832,-0.199718920195633,-0.0662636755445072
"CD226_NECTIN2",0,1.27949282856697,0.1661214267612,1.40950639330561,0,0.98820908172883,0.862637357558794,10.4614794472862,0,0.185479815637154,-0.5385341650349,-1.5902959450242,-8.876516946565,-0.282143228781498,-2.22936197615129,0.941106310946432,0,0.677511743955964,-0.169480890298005,0.0345731485474261,-9.93663793900257,-0.0241663111307522,-0.0815942431612016,0.730392940242719,0,0.427472458532021,-0.562313761775956,-1.43265051207294,-10.4817994316658,-0.379796493495305,-1.01201251770198,-3.32192809488736,0,0.345161993265594,-0.25946190287524,-0.667770241445332,-11.3987436919382,0.548983203615589,-0.159478214007197,1.04204177081693,0,0.696047949023934,-0.304201925990989,-0.750099263314423,-9.96578428466209,-0.391128355670413,-0.702095134319154,-0.584962500721157,0,0,0,0,0,0,0,0,0,-0.52908205020479,-0.797250451634627,-0.697630051100504,-13.8425467754436,-0.712092490738339,-0.816660801024841,-0.0894578589103044
"CDH1_KLRG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.453542301316836,0,-0.335613409429596,-0.443011848316957,-0.195135145599271,-0.430785691269148,-1.38950812705634,-0.384745268731404,-2.74322458463789,0,0.308122295362331,-1.90689059560852,-0.417166938840191,-0.730813367184611,-9.49185309632967,-0.526694845541976,0,0,0,0,0,0,0,0,-10.1163439612375,0,-7.78135971352466,-8.64385618977472,-11.9621730311097,-9.1548181090521,-10.0498485494506,-12.1830150008828,0,0,0,0,0,0,0,0,-3.04264433740849,0,0.111031312388744,-2.44745897697122,-2.08419512741643,-0.612976876890754,-9.47167521439204,-0.543958439414057
"FGF2_CD44",12.2862689626798,10.1674181458317,13.5597355686105,14.0400328080091,14.0132354250785,14.8237652797897,0,14.9594586464127,-1.21013945740167,-1.07864694630014,0.0270682431981707,-0.0415335000770143,-0.986955652175277,0.0739218049928696,-2.70659194512269,-0.356309317495069,-1.55900023682452,-0.454838507336819,0.189888103929949,-0.0891141234086353,-1.57924884952676,0.0440514842193225,-11.1163439612375,-0.311387697895758,-0.88707848748382,0.138734492289538,0.218814750461729,0.171877597686682,-0.817735691368862,0.291853735458161,-1.39146056283738,-0.231245233525875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGALS9_CD44",0,0,0,0,0,0,0,0,-1.62217939787593,-1.59593361854216,-0.575081903745718,-0.236506478884449,-2.20607400491528,-0.137840641414955,-11.3826240265749,-0.622308002541643,-1.3665199656053,-0.787388599456137,-0.106195794789047,1.03283777982797,-0.837608671243095,0.0881517349999461,-2.73696559416621,-0.29435457127234,12.5627194270493,10.7142455176661,13.6302671250268,14.0175913916754,14.5954323288495,14.8368886582175,0,15.0221510456866,0,0,0,0,0,0,0,0,-0.95739382862214,-0.0794761536420563,0.100233838824863,0.0791187171176024,-0.83731517304991,0.172659969163551,-2.44818376726071,-0.242851328374545,-2.14661379800842,-10.2877123795494,-0.48694748531821,-0.46658211031119,-2.91643274971884,0.169191514700757,0,-1.19208665136647,-1.61705613043101,1.33539035469392,-0.00369448355774171,1.13228550510649,-1.2747899042482,0.161012288461309,0,-0.335064574602742
"HGF_CD44",0,0,0,0,0,0,0,0,11.8993569229231,8.90689059560852,12.9421479203948,13.8755573888037,13.4486325677306,14.4492776359465,0,14.1094225945841,-2.43108990456421,-1.04306872189189,-0.321773705134859,-0.165950211276976,-1.32436927045236,-0.109760644941645,-10.929258408637,-0.906662810918192,-0.50602643070778,0.474576725583919,0.407392743240859,0.305190052996248,-0.695920477021034,0.273557181962947,-0.779250739480005,-0.161420669207148,0,0,0,0,0,0,0,0,-1.69701965717739,-1.41288261457517,-0.00839999485640203,-0.140460502943033,-0.950613101766325,0.133741492198088,-11.6438561897747,-0.383608692942832,11.2819300269554,0,11.8454900509444,12.512987309419,12.3690520070014,13.4640351521899,0,13.5922234213594,0,0,0,0,0,0,0,0
"FGF2_FGFR1",0,12.4291451704787,10.9837061926593,13.1969094425411,12.0566377151132,11.3134499409631,12.5898851792902,10.3608470841797,10.4460494067165,0.441915882954992,-0.442151693091785,0.22204246498764,12.3866708596376,0.984308902280533,0.275024869661105,0.145850866463455,7.32192809488736,0.260833497640523,0.133189097750658,-0.141979987278589,2.08341600818764,0.532303551448593,1.24741088137329,0.871013559279922,11.6969675262343,0.575137070865083,0.12199052437861,0.173731291489891,2.19552258710779,0.306954765745566,0.575993674956581,0.647698256069119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGF1_FGFR1",0,0,0,0,0,0,0,0,0,-12.5043224482919,-11.3987436919382,-13.1437020768579,0,-10.8454900509444,-11.5068034377956,-10.5887146355823,9.03617361255348,0.0656761742683691,-0.579248849526762,-0.26982457005368,1.9205655325056,0.0718929184817854,1.00565393946718,-0.60768257722124,8.73131903102506,0.0969667955208944,-0.463805374228865,-0.204406675863086,1.46740673591044,0.0864147518174734,0.676626835908865,-0.134929580086109,0,0,0,0,0,0,0,0,0,-1.54238271198232,-3.18699851480125,-1.82867734593618,-9.89178370321831,-0.807354922057605,-11.0566377151132,-0.436099114806674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
