orig.ident,cell_type_main,immune_status,group,n,freq
L13cov,Mast cell-like,Immune,COVID-19,8,0.001645413
L13cov,Myeloid,Immune,COVID-19,1800,0.370218017
L13cov,Neuron-like cells,Non-immune,COVID-19,111,0.022830111
L13cov,T cells,Immune,COVID-19,299,0.061497326
L15cov,APC-like,Immune,COVID-19,14,0.003451677
L15cov,B cells,Immune,COVID-19,149,0.0367357
L15cov,Endothelial cells,Non-immune,COVID-19,252,0.062130178
L15cov,Epithelial cells,Non-immune,COVID-19,923,0.227564103
L15cov,Fibroblasts,Non-immune,COVID-19,596,0.146942801
L15cov,Mast cell-like,Immune,COVID-19,38,0.009368836
L15cov,Myeloid,Immune,COVID-19,1435,0.353796844
L15cov,Neuron-like cells,Non-immune,COVID-19,87,0.021449704
L15cov,T cells,Immune,COVID-19,562,0.138560158
L16cov,APC-like,Immune,COVID-19,5,0.002744237
L16cov,B cells,Immune,COVID-19,128,0.07025247
L16cov,Endothelial cells,Non-immune,COVID-19,35,0.01920966
L16cov,Epithelial cells,Non-immune,COVID-19,354,0.194291987
L16cov,Fibroblasts,Non-immune,COVID-19,547,0.300219539
L16cov,Mast cell-like,Immune,COVID-19,20,0.010976948
L16cov,Myeloid,Immune,COVID-19,464,0.254665203
L16cov,Neuron-like cells,Non-immune,COVID-19,43,0.023600439
L16cov,T cells,Immune,COVID-19,226,0.124039517
L17cov,APC-like,Immune,COVID-19,0,0
L17cov,B cells,Immune,COVID-19,103,0.022145775
L17cov,Endothelial cells,Non-immune,COVID-19,529,0.113738981
L17cov,Epithelial cells,Non-immune,COVID-19,709,0.152440335
L17cov,Fibroblasts,Non-immune,COVID-19,1821,0.391528704
L17cov,Mast cell-like,Immune,COVID-19,72,0.015480542
L17cov,Myeloid,Immune,COVID-19,787,0.169210922
L17cov,Neuron-like cells,Non-immune,COVID-19,229,0.049236723
L17cov,T cells,Immune,COVID-19,401,0.086218018
L18cov,APC-like,Immune,COVID-19,3,0.001065341
L18cov,B cells,Immune,COVID-19,37,0.013139205
L18cov,Endothelial cells,Non-immune,COVID-19,74,0.026278409
L18cov,Epithelial cells,Non-immune,COVID-19,252,0.089488636
L18cov,Fibroblasts,Non-immune,COVID-19,1377,0.488991477
L18cov,Mast cell-like,Immune,COVID-19,4,0.001420455
L18cov,Myeloid,Immune,COVID-19,883,0.313565341
L18cov,Neuron-like cells,Non-immune,COVID-19,134,0.047585227
L18cov,T cells,Immune,COVID-19,52,0.018465909
L19cov,APC-like,Immune,COVID-19,4,0.001594261
L19cov,B cells,Immune,COVID-19,41,0.016341172
L19cov,Endothelial cells,Non-immune,COVID-19,45,0.017935432
L19cov,Epithelial cells,Non-immune,COVID-19,1630,0.64966122
L19cov,Fibroblasts,Non-immune,COVID-19,218,0.086887206
L19cov,Mast cell-like,Immune,COVID-19,7,0.002789956
L19cov,Myeloid,Immune,COVID-19,418,0.166600239
L19cov,Neuron-like cells,Non-immune,COVID-19,33,0.01315265
L19cov,T cells,Immune,COVID-19,113,0.045037864
L21cov,APC-like,Immune,COVID-19,11,0.003211679
L21cov,B cells,Immune,COVID-19,144,0.042043796
