"","B cells|B cells","B cells|Endothelial cells","B cells|Epithelial cells","B cells|Fibroblasts","B cells|Mast cell-like","B cells|Myeloid","B cells|Neuron-like cells","B cells|T cells","Endothelial cells|B cells","Endothelial cells|Endothelial cells","Endothelial cells|Epithelial cells","Endothelial cells|Fibroblasts","Endothelial cells|Mast cell-like","Endothelial cells|Myeloid","Endothelial cells|Neuron-like cells","Endothelial cells|T cells","Epithelial cells|B cells","Epithelial cells|Endothelial cells","Epithelial cells|Epithelial cells","Epithelial cells|Fibroblasts","Epithelial cells|Mast cell-like","Epithelial cells|Myeloid","Epithelial cells|Neuron-like cells","Epithelial cells|T cells","Fibroblasts|B cells","Fibroblasts|Endothelial cells","Fibroblasts|Epithelial cells","Fibroblasts|Fibroblasts","Fibroblasts|Mast cell-like","Fibroblasts|Myeloid","Fibroblasts|Neuron-like cells","Fibroblasts|T cells","Mast cell-like|B cells","Mast cell-like|Endothelial cells","Mast cell-like|Epithelial cells","Mast cell-like|Fibroblasts","Mast cell-like|Mast cell-like","Mast cell-like|Myeloid","Mast cell-like|Neuron-like cells","Mast cell-like|T cells","Myeloid|B cells","Myeloid|Endothelial cells","Myeloid|Epithelial cells","Myeloid|Fibroblasts","Myeloid|Mast cell-like","Myeloid|Myeloid","Myeloid|Neuron-like cells","Myeloid|T cells","Neuron-like cells|B cells","Neuron-like cells|Endothelial cells","Neuron-like cells|Epithelial cells","Neuron-like cells|Fibroblasts","Neuron-like cells|Mast cell-like","Neuron-like cells|Myeloid","Neuron-like cells|Neuron-like cells","Neuron-like cells|T cells","T cells|B cells","T cells|Endothelial cells","T cells|Epithelial cells","T cells|Fibroblasts","T cells|Mast cell-like","T cells|Myeloid","T cells|Neuron-like cells","T cells|T cells"
"COL16A1_a2b1 complex",0.108319380730004,0.108319380730004,0.108319380730004,0.108319380730004,0.108319380730004,0.108319380730004,0.108319380730004,0.108319380730004,0.879147648395713,0.607320618841978,0.560282406579812,0.288206718464036,0.108319380730004,0.128385831962489,0.675925243037686,1,0.86398739741116,0.489119623213629,0.599097074163634,0.102587879248026,0.0283274576302365,0.112984489695129,0.653855245626727,0.911416072814338,0.552921985166338,0.116426246861029,0.305962618698345,0.179475918606353,0.0138466240237659,0.387290329103664,0.316694819826235,0.977862342110804,0.428536792061782,0.104832330582654,0.104832330582654,0.0848467241041893,0.0175444823761302,0.428536792061782,0.428536792061782,0.0848467241041893,0.879147648395713,0.209809383868708,0.209809383868708,0.119206815909279,0.108319380730004,0.624288395796505,0.513729047543498,0.0550715150141608,0.226957173640238,0.391719574447874,0.230487392098804,0.430706751493157,0.108319380730004,0.310742434357538,0.119206815909279,0.590297221008528,0.879147648395713,0.513729047543498,0.567720423820916,0.369221227566784,0.108319380730004,0.347352099187099,0.347352099187099,0.595575963543286
"COL4A6_a2b1 complex",0.893206273819137,0.288206718464036,0.354953778530311,0.354953778530311,0.612089880089257,0.893206273819137,0.409056628800763,0.369536301817734,0.612089880089257,0.160120906862882,0.140701082160653,0.0595234938316017,0.0175444823761302,0.347159465706584,0.621281208791057,0.183486908733839,0.597877394907459,0.280557767796654,0.287929461842505,0.116426246861029,0.0283274576302365,0.107371255898383,0.344328782531934,0.933655140992498,0.773997829011561,0.977916520887944,0.598873795707564,0.0811752227978909,0.0283274576302365,0.0170425367877926,0.799753020107335,0.21752524123049,1,0.108319380730004,0.108319380730004,0.108319380730004,1,0.108319380730004,1,0.108319380730004,0.470262706374128,0.252478965046469,0.537770528507388,0.837262777176008,0.612089880089257,0.885836268871716,0.384217228500489,0.351178439040289,0.16522391977882,0.0181844045116964,0.0181844045116964,0.0181844045116964,1,0.428536792061782,0.0181844045116964,0.0409644553467008,0.428536792061782,0.113566010383911,0.129409592895042,0.113566010383911,0.0283274576302365,0.00278691747961884,0.773997829011561,0.0805911616888426
"COL9A3_a2b1 complex",0.513729047543498,0.469037051803708,0.582193532197222,0.192552182074947,0.0283274576302365,0.0932015527289672,0.881507132268126,0.112984489695129,1,0.612089880089257,0.612089880089257,0.612089880089257,1,0.612089880089257,0.612089880089257,1,0.893206273819137,0.923700835359221,0.82316940981333,0.462790340129512,0.108319380730004,0.347352099187099,0.972663326246455,0.918137286310965,0.428536792061782,0.183486908733839,0.209809383868708,0.119206815909279,0.0175444823761302,0.0175444823761302,1,0.0550715150141608,1,1,1,1,1,1,1,1,0.612089880089257,0.16522391977882,0.16522391977882,0.16522391977882,0.612089880089257,0.612089880089257,0.16522391977882,0.226957173640238,1,0.612089880089257,0.612089880089257,0.612089880089257,1,1,0.612089880089257,1,0.612089880089257,0.713368210209485,0.838294343350861,0.902546269167626,0.108319380730004,0.108319380730004,0.713368210209485,0.96430704452167
"COL9A2_a2b1 complex",0.513729047543498,0.842483211390013,0.977352447934465,0.268231640404957,0.0175444823761302,0.0217085949313146,0.791717874945436,0.551017764068118,1,0.612089880089257,0.612089880089257,0.612089880089257,1,1,0.612089880089257,0.612089880089257,0.790224546277976,0.597187275218832,0.717672771735543,0.0369799352227144,0.0283274576302365,0.027292560872325,1,0.191599407096595,0.675925243037686,0.752709333389997,0.709629174218646,0.796573880687864,0.128385831962489,0.0508400976126749,0.746873161949356,0.746873161949356,0.879147648395713,0.678068073281086,0.587326833879403,0.322342935931745,0.502922621667626,0.111431794498788,0.86398739741116,0.757822790750145,0.757822790750145,0.391047044362179,0.498001193653368,0.0919315788881006,0.0283274576302365,0.128342508879506,0.387030927711884,0.82386722441746,0.428536792061782,0.16522391977882,0.16522391977882,0.16522391977882,1,0.428536792061782,0.16522391977882,0.226957173640238,0.462538960140444,0.570193737326144,0.460456082210162,0.909591957448956,0.128385831962489,0.885836268871716,0.271172266754606,0.975761937171438
"COL19A1_a2b1 complex",0.885836268871716,0.0913065921552787,0.360992591810316,0.0913065921552787,0.017705547127786,0.0116771277087169,0.694791296397013,0.0205579362149627,0.713368210209485,0.976898865015878,0.750085005852471,0.283985146414734,0.128385831962489,0.369536301817734,0.351178439040289,0.523451423507623,0.895091986522487,0.305962618698345,0.431255700820918,0.116426246861029,0.0283274576302365,0.0457444443128485,0.504442998780578,0.677144471720445,0.552835912358431,0.369771291510422,0.287929461842505,0.0919315788881006,0.0283274576302365,0.310601731534064,0.418396119724909,0.889381274386239,0.226957173640238,0.0192536456476415,0.0192536456476415,0.00621580020884892,0.0175444823761302,0.0373815684144019,0.102234295808877,0.0178370433760233,0.97266972352587,0.332847810058496,0.3998445998446,0.103640642771078,0.0283274576302365,0.0892112587470001,0.485364488771833,0.676487160258036,1,0.388711016762426,0.462790340129512,0.725462474576785,0.612089880089257,0.732332470754753,0.354953778530311,0.450988832923228,0.918060798291523,0.760753251547025,0.63794197054022,0.0811752227978909,0.0283274576302365,0.0779824645833782,0.672457295582172,0.387030927711884
"COL24A1_a2b1 complex",0.552921985166338,0.022424918077092,0.0112248460074547,0.431255700820918,0.0283274576302365,1,0.0316673941140073,0.19113882349766,0.885836268871716,0.388711016762426,0.263843827383389,0.0688065883558567,0.0175444823761302,0.03735762668498,0.237522986804582,0.213113581054231,0.97266972352587,0.598033179099693,0.760184128236302,0.192164371806264,0.00278691747961884,0.0689848522092575,0.95472313886629,0.185199649191733,0.947432025468618,0.369771291510422,0.618462178751898,0.223448580076438,0.017705547127786,0.0689848522092575,0.54061114417415,0.42098069270754,0.226957173640238,0.0443007782845306,0.0688065883558567,0.0379789001166513,0.00278691747961884,0.0805911616888426,0.209014763116277,0.0111367302366977,0.732332470754753,0.839370166164409,0.54312278886451,0.111241784157795,0.0175444823761302,0.0324412511075428,0.811497744108442,0.191399244765128,0.732332470754753,0.373422419867222,0.373422419867222,0.373422419867222,0.428536792061782,0.96430704452167,0.373422419867222,0.471855950214528,0.942771114265418,0.712091927554808,0.977352447934465,0.348854128943942,0.0175444823761302,0.0595234938316017,0.702869634129837,0.626311708942163
"COL28A1_a2b1 complex",0.310742434357538,0.226957173640238,0.226957173640238,0.226957173640238,1,0.310742434357538,0.226957173640238,0.310742434357538,0.879147648395713,0.607320618841978,0.430706751493157,0.354953778530311,1,0.128385831962489,0.675925243037686,0.790224546277976,1,0.978448926275013,0.978448926275013,0.0715719063545151,0.0224763408995488,0.0253593731529785,0.911416072814338,0.113719667040815,0.653455794196473,0.355043120375435,0.416362353509845,0.715607517864831,0.502922621667626,0.265835393240107,0.186700638002134,1,1,0.108319380730004,0.108319380730004,0.108319380730004,1,1,1,1,0.879147648395713,0.288206718464036,0.320445131807793,0.320445131807793,1,0.65334814298881,0.450988832923228,0.332480499362133,0.226957173640238,0.876518342284423,0.975208240089226,0.641106010313356,0.108319380730004,0.138312072977847,0.810469134784799,0.975208240089226,0.902546269167626,0.292110353317884,0.292110353317884,0.292110353317884,0.108319380730004,0.96430704452167,0.373422419867222,0.373422419867222
"COL13A1_a2b1 complex",0.428536792061782,0.838294343350861,0.653455794196473,0.653455794196473,1,0.799946492427152,0.226957173640238,0.799946492427152,0.462538960140444,0.97266972352587,0.97266972352587,0.86398739741116,0.108319380730004,0.414326973448099,0.885836268871716,0.773997829011561,0.732332470754753,0.752709333389997,0.8410908112991,0.289245952196866,0.0283274576302365,0.140608112948144,1,0.304429978122832,0.895091986522487,0.685010641532381,0.935425604990822,0.0357870792653401,0.0224763408995488,0.0342906829413357,0.696992133711647,0.304555620068699,0.775103324202317,0.460456082210162,0.495669389338012,0.0885122055764598,0.0175444823761302,0.133499381290324,0.975761937171438,0.0892679813470635,0.879147648395713,0.544141264580994,0.354546815493874,0.0906478324043924,0.108319380730004,0.281441169684891,0.607320618841978,0.369536301817734,0.310742434357538,0.86398739741116,0.757822790750145,0.97266972352587,0.108319380730004,0.327301698653168,0.568650027537515,0.666668851646124,0.790224546277976,0.515083712033929,0.471855950214528,0.354953778530311,0.108319380730004,0.0550715150141608,0.829484979610388,0.236218436285061
"COL27A1_a2b1 complex",0.0175444823761302,0.462538960140444,0.414326973448099,0.414326973448099,0.502922621667626,0.0175444823761302,0.414326973448099,0.567720423820916,0.97266972352587,1,0.765613209500004,0.18961510168453,0.0175444823761302,0.430706751493157,0.876518342284423,0.925720369766865,0.791989757460873,0.145481571568528,0.287929461842505,0.116426246861029,0.0224763408995488,0.0785952794983628,0.403986354453848,0.802787646817246,0.692406383294543,0.287929461842505,0.263455063455063,0.24039953605171,0.0283274576302365,0.0689848522092575,0.200754668017647,0.977862342110804,0.612089880089257,0.612089880089257,0.612089880089257,0.612089880089257,1,1,0.612089880089257,0.612089880089257,0.567720423820916,1,0.686213277694453,0.437205017048225,0.108319380730004,0.0724208977374858,0.597286482736603,0.620960577894873,0.947432025468618,0.0873446552097949,0.228160985113167,0.757866348342518,0.104832330582654,0.678129841342529,0.271670981903114,0.622528887366174,0.902546269167626,0.796573880687864,0.752709333389997,0.709629174218646,0.0175444823761302,0.391719574447874,0.523451423507623,0.742964856507718
"COL22A1_a2b1 complex",0.128385831962489,0.03735762668498,0.0444262455503619,0.0216075776404667,0.0175444823761302,0.00427585273034718,0.119206815909279,0.00427585273034718,0.428536792061782,0.675925243037686,0.675925243037686,0.518249411658953,0.108319380730004,0.722752244691669,0.96430704452167,0.902546269167626,0.942771114265418,0.246749376834615,0.246749376834615,0.0239052909242523,0.00278691747961884,0.0409206895153977,0.447514937997579,0.0170621501084486,0.97266972352587,0.330324777434555,0.303439176368813,0.717672771735543,0.0283274576302365,0.169483837877254,0.297016744666966,0.551072015680415,0.612089880089257,0.502922621667626,0.502922621667626,0.428536792061782,1,1,0.612089880089257,0.612089880089257,0.332480499362133,0.139168258364954,0.30186770418557,0.387030927711884,0.0175444823761302,0.925720369766865,0.339283541766225,0.841065152072684,0.428536792061782,0.722752244691669,0.722752244691669,0.722752244691669,0.108319380730004,0.722752244691669,0.722752244691669,0.428536792061782,0.128385831962489,0.265835393240107,0.297914050027297,0.184156114358135,0.128385831962489,0.138312072977847,0.183486908733839,0.138312072977847
"COL26A1_a2b1 complex",0.893206273819137,0.607320618841978,0.607320618841978,0.391719574447874,0.108319380730004,0.0792505812739959,1,0.560282406579812,0.612089880089257,0.909231325268873,0.732332470754753,0.675925243037686,0.108319380730004,0.128385831962489,0.653455794196473,0.624288395796505,0.26325303383643,0.0932015527289672,0.107348576414167,0.0432438312058247,0.0175444823761302,0.0166579646233961,0.209014763116277,0.0166579646233961,0.332480499362133,0.191599407096595,0.233140103579634,1,0.128385831962489,0.607320618841978,0.0944238070031289,0.728227508261604,1,1,1,1,1,1,1,1,0.428536792061782,0.518249411658953,0.470262706374128,0.470262706374128,0.612089880089257,0.879147648395713,0.16522391977882,0.713368210209485,0.428536792061782,0.310742434357538,0.310742434357538,0.310742434357538,1,0.612089880089257,0.310742434357538,0.310742434357538,0.303368518016874,0.515083712033929,0.560282406579812,0.354953778530311,0.108319380730004,0.314761233171935,0.829484979610388,0.159694244171318
"COL21A1_a2b1 complex",0.612089880089257,0.428536792061782,0.428536792061782,0.428536792061782,1,1,0.428536792061782,0.428536792061782,0.288206718464036,0.127894131719042,0.102430471667066,0.488854089055419,0.104832330582654,0.388711016762426,0.0873446552097949,0.387030927711884,0.791989757460873,0.287929461842505,0.287929461842505,0.145481571568528,0.0283274576302365,0.161168041703564,0.54061114417415,0.889651655759533,0.692406383294543,0.00332646419602941,0.00414625632016936,0.000148643626904496,0.017705547127786,0.0342906829413357,0.911416072814338,0.173924556245145,0.108319380730004,0.0175444823761302,0.0175444823761302,0.0175444823761302,0.108319380730004,0.108319380730004,0.108319380730004,0.108319380730004,0.732332470754753,0.66824528327001,0.488758251840284,0.276649534801901,0.108319380730004,0.119206815909279,0.373422419867222,0.430598827968672,0.96430704452167,0.698346693230812,0.492920546545877,0.881507132268126,0.502922621667626,0.722752244691669,0.237522986804582,0.873179066842125,0.86398739741116,0.738222316547428,1,0.523451423507623,0.0175444823761302,0.171158086312647,1,0.83157807799233
"COL12A1_a2b1 complex",1,0.799946492427152,0.722752244691669,0.722752244691669,1,0.722752244691669,0.108319380730004,0.722752244691669,0.310742434357538,0.319999131054412,0.263239499032355,0.663507186997632,0.108319380730004,0.68306293382718,0.222563238953117,0.288206718464036,0.741657174196553,0.00767992072339898,0.0494772702279354,0.0112248460074547,0.017705547127786,0.0226852890766713,0.557829513134724,0.0555331950846314,0.741657174196553,0.0812675247457856,0.0628064367194802,0.978448926275013,0.0224763408995488,0.438195576788638,0.181866289226498,0.331441219850987,0.108319380730004,0.0175444823761302,0.0175444823761302,0.0175444823761302,0.108319380730004,0.108319380730004,0.108319380730004,0.108319380730004,0.26325303383643,0.159694244171318,0.159694244171318,0.138312072977847,0.108319380730004,0.0792505812739959,0.26325303383643,0.102234295808877,0.568650027537515,0.191399244765128,0.107337448724404,0.0417872320524001,0.0175444823761302,0.0041302510800312,0.237522986804582,0.0320085636704204,0.428536792061782,0.552921985166338,0.791989757460873,0.895091986522487,0.108319380730004,0.347352099187099,0.829484979610388,0.468297970586497
